City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,cost_of_living_index
Erode,97.11500000000001,18.90873016,150.0,42.0,4583.0,100.0,165.0,4.5,44.795230182777836,100.0,94.5436508,15.0,112.5,80.0,42.30769230769231,73.85
Kannur,100.26,18.90873016,200.0,42.0,3822.5,100.0,150.0,6.5,37.36193920437885,100.0,94.5436508,20.0,162.5,80.0,38.46153846153847,73.32
Madurai,97.32,18.18181818,400.0,37.5,5000.0,125.0,60.0,4.5,48.871078095982796,89.28571428571429,90.9090909,40.0,112.5,100.0,15.384615384615385,72.74
Amaravati region,98.365,18.90873016,400.0,42.0,4018.0,100.0,150.0,3.0,39.27279835793178,100.0,94.5436508,40.0,75.0,80.0,38.46153846153847,72.48
Meerut,91.02,18.90873016,400.0,37.0,4138.0,124.5,215.0,6.5,40.445704232235364,88.09523809523809,94.5436508,40.0,162.5,99.6,55.12820512820513,72.45
Thrissur,100.59,18.66666667,300.0,38.0,4394.0,100.0,140.0,6.5,42.94790343074968,90.47619047619048,93.33333335,30.0,162.5,80.0,35.8974358974359,71.92
Indore,99.18,15.0,400.0,38.0,4167.0,115.0,285.0,6.5,40.729156485192064,90.47619047619048,75.0,40.0,162.5,92.0,73.07692307692307,71.2
Solapur,97.505,11.57894737,200.0,42.0,4000.0,100.0,150.0,7.5,39.096862476786235,100.0,57.894736849999994,20.0,187.5,80.0,38.46153846153847,70.43
Nagpur,97.28,22.12121212,400.0,31.0,4000.0,125.0,360.0,7.5,39.096862476786235,73.80952380952381,110.6060606,40.0,187.5,100.0,92.3076923076923,70.0
Tiruchirappalli,97.03999999999999,20.47619048,300.0,42.0,2338.0,125.0,180.0,4.5,22.852116117681557,100.0,102.3809524,30.0,112.5,100.0,46.15384615384615,69.82
Asansol,94.955,15.90909091,400.0,39.5,3177.0,100.0,250.0,5.5,31.052683022187473,94.04761904761905,79.54545454999999,40.0,137.5,80.0,64.1025641025641,68.37
Surat,92.195,15.78947368,300.0,33.5,3953.0,150.0,260.0,5.2,38.637474342683994,79.76190476190477,78.9473684,30.0,130.0,120.0,66.66666666666666,66.41
Jamnagar,92.255,13.42857143,375.0,38.0,3103.0,125.0,235.0,5.2,30.329391066366924,90.47619047619048,67.14285715,37.5,130.0,100.0,60.256410256410255,65.84
Sangli,97.35,18.90873016,300.0,30.0,3911.0,100.0,200.0,7.5,38.226957286677745,71.42857142857143,94.5436508,30.0,187.5,80.0,51.28205128205128,64.31
Malappuram,100.72999999999999,18.90873016,400.0,36.0,1511.5,125.0,130.0,6.5,14.773726908415599,85.71428571428571,94.5436508,40.0,162.5,100.0,33.33333333333333,62.79
