id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83499839,2026-02-21T07:15:46.000Z,6000000,4518,₹,"11.048098,76.069222",,,,,3,,4,Malappuram,3,"Malappuram, Kerala",1328,,12800,
73678859,2026-03-17T07:08:20.000Z,1050000,344,₹,"11.232683,76.051234",,,12800,,,North,,Malappuram,,"Malappuram, Kerala",,,,
65839985,2026-03-15T17:48:07.000Z,10000000,918,₹,,,,12800,,,North,,Malappuram,,"Malappuram, Kerala",,,,
83687257,2026-03-07T16:31:09.000Z,12000000,6000,₹,"10.8891,76.068604",,,,,4,East,,Malappuram,3,"Malappuram, Kerala",2000,,12800,
81924247,2025-11-13T06:34:33.000Z,1600000,525,₹,"10.917825,75.924027",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
70683041,2025-11-23T16:15:43.000Z,9500000,872,₹,"10.973895,76.1952342",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
65412979,2026-03-02T21:33:18.000Z,23600000,11800,₹,"11.003824,76.000027",,,,,4,,2,Malappuram,3,"Malappuram, Kerala",2000,,12800,
83862517,2026-03-19T09:25:39.000Z,2750000,,₹,"13.848297,77.726283",,950,,,2,,,Malappuram,2,"Malappuram, Kerala",,,,
58566057,2026-03-05T17:33:58.000Z,17600000,5029,₹,"10.949682,75.912008",,,12800,2,7,,,Malappuram,5,"Malappuram, Kerala",3500,,12800,
51261256,2026-03-05T17:33:44.000Z,11200000,804,₹,"10.76104,75.93311",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
82716981,2025-12-25T08:26:46.000Z,6200000,4593,₹,,,1350,,1,3,,10,Malappuram,3,"Malappuram, Kerala",1350,,12800,
82344665,2025-11-28T07:55:00.000Z,18000000,1378,₹,"10.917825,75.924027",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
80851729,2025-12-23T06:36:49.000Z,15000000,383,₹,"11.11456209,76.11809893",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
33475529,2025-11-23T21:32:43.000Z,4800000,279,₹,,,,12800,,,West,,Malappuram,,"Malappuram, Kerala",,,,
53487063,2026-01-06T21:33:22.000Z,30000000,689,₹,"11.109742,75.885572",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
52682517,2026-03-15T17:47:28.000Z,37500000,3444,₹,"10.973895,76.1952342",,,,,2,,3,Malappuram,8,"Malappuram, Kerala",,,12800,
83712231,2026-03-10T04:58:09.000Z,6000000,3704,₹,"11.050965,75.982332",,,,,2,,,Malappuram,3,"Malappuram, Kerala",1620,,12800,
