address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Pune, Maharashtra",2,924,,14,"18.5046404,73.7649625",10500000,8420
"Pune, Maharashtra",3,950,,3,"18.5063185,73.8326625",11500000,9200
"Pune, Maharashtra",3,903,,13,"18.4509142546204,73.9159532114877",7800000,6500
"Pune, Maharashtra",2,920,,4,"18.5995184845644,73.7212220016587",7000000,5833
"Pune, Maharashtra",2,625,,11,"18.4439750329832,73.8768659759521",5800000,6824
"Pune, Maharashtra",3,1336,,20,"18.6536881,73.7400954",24000000,15454
"Pune, Maharashtra",3,900,,7,"18.5771108912106,73.8927148142618",11200000,9404
"Pune, Maharashtra",2,771,,6,"18.4680743173029,73.8930224694682",8000000,7143
"Pune, Maharashtra",3,1160,,3,"18.5771108912106,73.8927148142618",8800000,
"Pune, Maharashtra",2,,,,"18.7573658,73.4117228",10000000,5882
"Pune, Maharashtra",3,1172,,13,"18.58223233,73.76094544",17500000,10294
"Pune, Maharashtra",3,1100,,,,18000000,6000
"Pune, Maharashtra",3,1088,,13,"18.530748,73.927583",15500000,10000
"Pune, Maharashtra",3,1503,,,"18.5140065,73.949737",35000000,19444
"Pune, Maharashtra",2,785,,4,"18.7343947451665,73.6791497214445",3800000,3707
"Pune, Maharashtra",2,685,,12,"18.7621144,73.8657666",3500000,5000
"Pune, Maharashtra",2,,,22,"18.601732750311,73.7220719182405",8150000,10226
"Pune, Maharashtra",2,635,,11,"18.7621144,73.8657666",3500000,4167
"Pune, Maharashtra",2,664,,12,"18.601256,73.7645369",8100000,10125
"Pune, Maharashtra",2,753,,7,"18.6536881,73.7400954",7999999,8163
"Pune, Maharashtra",2,700,,7,"18.441244,73.799721",5800000,5829
"Pune, Maharashtra",2,780,,4,"18.5215909041852,73.8675101744338",11000000,11411
"Pune, Maharashtra",3,1230,,15,"18.601256,73.7645369",13200000,9429
"Pune, Maharashtra",3,849,,9,"18.5915090200973,73.8965510533003",8500000,6538
"Pune, Maharashtra",3,928,,9,"18.4703680763148,73.900162950668",9190000,7294
"Pune, Maharashtra",2,1500,,,"18.49998558,73.97279082",6700000,4188
"Pune, Maharashtra",2,998,,1,"18.7343947451665,73.6791497214445",6200000,5882
"Pune, Maharashtra",2,600,,13,"18.5013815,73.752738",5600000,8615
"Pune, Maharashtra",3,1050,,11,"18.55895,73.77823",17000000,13600
"Pune, Maharashtra",3,907,,13,"18.5010967026398,73.9358682814506",16000000,14072
