price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
5556,5000000,"10.5164745,76.1860471",2,Thrissur,3,"Thrissur, Kerala",
3986,4500000,"10.5160924,76.2365357",2,Thrissur,5,"Thrissur, Kerala",
2560,3200000,"10.6838,76.420416",3,Thrissur,,"Thrissur, Kerala",
3588,3100000,,2,Thrissur,2,"Thrissur, Kerala",
4167,12500000,"10.5377344,76.2012131",3,Thrissur,3,"Thrissur, Kerala",
2093,1800000,"10.54424,76.15799",3,Thrissur,2,"Thrissur, Kerala",
2921,4200000,"10.5949449,76.038376",3,Thrissur,,"Thrissur, Kerala",12850
6932,8700000,"10.5141640361475,76.2139515555072",2,Thrissur,14,"Thrissur, Kerala",
3002,3900000,"10.511016,76.174367",3,Thrissur,4,"Thrissur, Kerala",
3500,3500000,"10.511016,76.174367",3,Thrissur,,"Thrissur, Kerala",
6522,18000000,"10.503479,76.2109384",3,Thrissur,2,"Thrissur, Kerala",
3333,10000000,"10.511016,76.174367",3,Thrissur,,"Thrissur, Kerala",
3224,5500000,"10.5377344,76.2012131",3,Thrissur,2,"Thrissur, Kerala",
2222,3000000,"10.3723899,76.3072805",3,Thrissur,,"Thrissur, Kerala",12596
,4300000,"10.488419,76.207123",3,Thrissur,6,"Thrissur, Kerala",
5636,6200000,"10.523544,76.2003",3,Thrissur,2,"Thrissur, Kerala",
2500,3000000,"10.3723899,76.3072805",3,Thrissur,1,"Thrissur, Kerala",
3152,5200000,"10.5949449,76.038376",3,Thrissur,2,"Thrissur, Kerala",
3538,3400000,"10.5507275,76.217383",2,Thrissur,2,"Thrissur, Kerala",
7117,9500000,"10.5539107,76.2218334",2,Thrissur,,"Thrissur, Kerala",
5166,7790000,"10.5160924,76.2365357",3,Thrissur,5,"Thrissur, Kerala",
5516,8500000,"10.508486,76.25331",3,Thrissur,12,"Thrissur, Kerala",
6587,8300000,"10.4829156,76.2460449",3,Thrissur,14,"Thrissur, Kerala",
3261,7500000,"10.5259278,76.1715748",2,Thrissur,1,"Thrissur, Kerala",
,8500000,"10.5260106,76.1921091",3,Thrissur,20,"Thrissur, Kerala",
3033,4100000,"10.5179115,76.2051286",3,Thrissur,3,"Thrissur, Kerala",
4023,3500000,"10.5260106,76.1921091",2,Thrissur,2,"Thrissur, Kerala",
,3500000,,2,Thrissur,2,"Thrissur, Kerala",
6944,12500000,"10.508486,76.25331",3,Thrissur,12,"Thrissur, Kerala",
3538,3000000,"10.3099687646253,76.3320227524625",2,Thrissur,6,"Thrissur, Kerala",
2500,2000000,"10.658632,76.239741",2,Thrissur,,"Thrissur, Kerala",
8428,13300000,,3,Thrissur,12,"Thrissur, Kerala",
4433,6450000,"10.5377344,76.2012131",3,Thrissur,4,"Thrissur, Kerala",
3719,4500000,"10.5296207,76.2202321",2,Thrissur,3,"Thrissur, Kerala",
5800,5800000,"10.5949449,76.038376",3,Thrissur,,"Thrissur, Kerala",
4333,6500000,"10.658632,76.239741",3,Thrissur,,"Thrissur, Kerala",
2800,3500000,"10.5483155,76.2729579",3,Thrissur,2,"Thrissur, Kerala",
4743,8200000,"10.5260106,76.1921091",3,Thrissur,5,"Thrissur, Kerala",
5666,4850000,"10.4829156,76.2460449",2,Thrissur,11,"Thrissur, Kerala",
8563,11500000,"10.5377344,76.2012131",2,Thrissur,14,"Thrissur, Kerala",
918,2000000,,3,Thrissur,,"Thrissur, Kerala",
,7500000,"10.3099687646253,76.3320227524625",3,Thrissur,,"Thrissur, Kerala",
6129,9500000,"10.5279555,76.2058202",3,Thrissur,9,"Thrissur, Kerala",
3681,3600000,,2,Thrissur,7,"Thrissur, Kerala",
5963,9600000,"10.5578849,76.1718178",3,Thrissur,6,"Thrissur, Kerala",
3250,6500000,"10.27036,76.241416",3,Thrissur,,"Thrissur, Kerala",
3717,3200000,"10.5260106,76.1921091",2,Thrissur,4,"Thrissur, Kerala",
6209,8500000,"10.5260106,76.1921091",3,Thrissur,13,"Thrissur, Kerala",
3600,4500000,"10.5578849,76.1718178",2,Thrissur,2,"Thrissur, Kerala",
1861,3500000,"10.488419,76.207123",3,Thrissur,7,"Thrissur, Kerala",
1110,2900000,"10.3508318156354,76.2069063407691",2,Thrissur,,"Thrissur, Kerala",
5417,6500000,"10.577152,76.036049",3,Thrissur,1,"Thrissur, Kerala",
1944,3500000,,3,Thrissur,,"Thrissur, Kerala",
4706,8000000,"10.5949449,76.038376",3,Thrissur,,"Thrissur, Kerala",
3125,5000000,"10.5713741,76.2191779",3,Thrissur,,"Thrissur, Kerala",
,6700000,,3,Thrissur,,"Thrissur, Kerala",
3267,4900000,"10.587872,76.2216166",3,Thrissur,2,"Thrissur, Kerala",
3833,4600000,,2,Thrissur,,"Thrissur, Kerala",12596
5784,10000000,,3,Thrissur,5,"Thrissur, Kerala",
5455,9000000,"10.503479,76.2109384",3,Thrissur,9,"Thrissur, Kerala",
3827,6200000,"10.302907,76.216259",3,Thrissur,,"Thrissur, Kerala",
4900,9800000,"10.344916,76.316206",3,Thrissur,,"Thrissur, Kerala",
57,500000,,2,Thrissur,,"Thrissur, Kerala",
2432,4500000,"10.3508318156354,76.2069063407691",3,Thrissur,2,"Thrissur, Kerala",
,4100000,"8.4843209,76.9474376",3,Thrissur,6,"Thrissur, Kerala",
4400,6600000,"10.5539107,76.2218334",3,Thrissur,2,"Thrissur, Kerala",
3875,6200000,"10.3508318156354,76.2069063407691",3,Thrissur,,"Thrissur, Kerala",
3750,3000000,"10.240716,76.263598",2,Thrissur,1,"Thrissur, Kerala",
7143,12500000,"10.5160924,76.2365357",3,Thrissur,2,"Thrissur, Kerala",
5682,5000000,"10.5377344,76.2012131",2,Thrissur,3,"Thrissur, Kerala",12800
6946,5800000,"10.5006165,76.2343169",2,Thrissur,9,"Thrissur, Kerala",
5556,5000000,"10.5375185,76.2029237",2,Thrissur,3,"Thrissur, Kerala",
4352,4800000,"10.503479,76.2109384",2,Thrissur,8,"Thrissur, Kerala",
10577,27500000,"10.5761416,76.2013007",3,Thrissur,,"Thrissur, Kerala",
4400,4400000,"10.5377344,76.2012131",3,Thrissur,,"Thrissur, Kerala",12596
,7600000,"10.5164745,76.1860471",3,Thrissur,15,"Thrissur, Kerala",
7524,11000000,"10.5006165,76.2343169",3,Thrissur,18,"Thrissur, Kerala",
8051,19000000,"10.5539107,76.2218334",3,Thrissur,16,"Thrissur, Kerala",
2128,3000000,"10.4829156,76.2460449",3,Thrissur,,"Thrissur, Kerala",12850
5363,6200000,"10.508486,76.25331",2,Thrissur,13,"Thrissur, Kerala",
7592,14903000,"10.5006165,76.2343169",3,Thrissur,,"Thrissur, Kerala",
6426,8000000,,3,Thrissur,19,"Thrissur, Kerala",
11005,19600000,"10.4829156,76.2460449",3,Thrissur,16,"Thrissur, Kerala",
6464,14201408,"10.4829156,76.2460449",2,Thrissur,22,"Thrissur, Kerala",
3827,15000000,"10.5377344,76.2012131",3,Thrissur,,"Thrissur, Kerala",12596
4909,5400000,"10.503479,76.2109384",2,Thrissur,3,"Thrissur, Kerala",
,6500000,"10.5260106,76.1921091",3,Thrissur,2,"Thrissur, Kerala",
7050,5400000,,2,Thrissur,,"Thrissur, Kerala",
,8600000,"10.5377344,76.2012131",3,Thrissur,4,"Thrissur, Kerala",
4548,7200000,"10.6172387,76.2146045",3,Thrissur,,"Thrissur, Kerala",12850
4000,6800000,"10.360209,76.411586",3,Thrissur,2,"Thrissur, Kerala",
