address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Vadodara, Gujarat",2,750,,5,"22.2803126315282,73.1507244811002",3000000,2400
"Vadodara, Gujarat",2,,,3,"22.3213852,73.1629878",2000000,2548
"Vadodara, Gujarat",3,,,2,"22.3002320490991,73.2379467703341",5551000,6939
"Vadodara, Gujarat",3,1500,,4,"22.2754108,73.1538839",3600000,1895
"Vadodara, Gujarat",3,,,4,"22.2946904,73.1541585",5000000,12821
"Vadodara, Gujarat",3,800,,5,"22.2834525,73.1277473",4500000,4500
"Vadodara, Gujarat",3,,,5,"22.2834525,73.1277473",3000000,2069
"Vadodara, Gujarat",2,,,9,"22.3336943,73.12368155",4200000,2962
"Vadodara, Gujarat",3,,,4,"22.3143858,73.1379109",3200000,2133
"Vadodara, Gujarat",2,770,,,"22.3213852,73.1629878",4599999,4600
"Vadodara, Gujarat",3,,,,"22.295137,73.2486222",3020000,1911
"Vadodara, Gujarat",2,,,,"22.295137,73.2486222",1900000,2568
"Vadodara, Gujarat",2,,,5,"22.3284857713457,73.2144134087983",2300000,2706
"Vadodara, Gujarat",2,575,,,"22.3462145,73.1832085",1100000,1913
"Vadodara, Gujarat",2,,,,"22.3369071,73.1982995",1910000,1910
"Vadodara, Gujarat",2,,,5,"22.2811984,73.1924864",3600000,2975
"Vadodara, Gujarat",3,,,9,"22.2951626749092,73.1642419219825",10000000,4348
"Vadodara, Gujarat",3,800,,5,"22.2834525,73.1277473",3950000,3038
"Vadodara, Gujarat",2,,,4,"22.3156579,73.2247725",4000000,3125
"Vadodara, Gujarat",3,1400,,4,,8500000,4250
"Vadodara, Gujarat",2,,,,"22.2451575,73.0772294",2480000,1908
"Vadodara, Gujarat",2,,,,"22.2924032,73.1297514",2580000,1911
"Vadodara, Gujarat",2,896,,,"22.2924032,73.1297514",2580000,1911
"Vadodara, Gujarat",2,,,,"22.2924032,73.1297514",1910000,1910
