address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",1920000,2954
"Coimbatore, Tamil Nadu",3,2,,1,"10.992592,76.936891",6500000,
"Coimbatore, Tamil Nadu",3,,,,"11.07818,77.038567",8000000,8889
"Coimbatore, Tamil Nadu",2,872,,,"10.987849,76.937745",3700000,3700
"Coimbatore, Tamil Nadu",3,,,,"10.6572737,77.0106693",11000000,4583
"Coimbatore, Tamil Nadu",2,,,4,,9700000,7537
"Coimbatore, Tamil Nadu",3,,,3,"11.00832,76.94901",9000000,6316
"Coimbatore, Tamil Nadu",3,1700,,9,"11.0097212,77.0139841",17000000,8500
"Coimbatore, Tamil Nadu",2,680,,1,"11.0227,77.125732",3599999,3333
"Coimbatore, Tamil Nadu",2,1048,,,"10.96724,77.027778",5600000,4242
"Coimbatore, Tamil Nadu",2,,,4,"11.024999,76.9038011",6500000,5138
"Coimbatore, Tamil Nadu",3,,,,"11.0000143,76.8705389",5960000,2950
"Coimbatore, Tamil Nadu",3,1350,,,"10.973048,76.890367",8500000,4048
"Coimbatore, Tamil Nadu",3,,,,"11.0089915,77.0648595",2950000,2950
"Coimbatore, Tamil Nadu",3,3,,,"10.6572737,77.0106693",8500000,3953
"Coimbatore, Tamil Nadu",3,,,,"10.987849,76.937745",15000000,8112
"Coimbatore, Tamil Nadu",3,,,,"11.065646,77.05328",4430000,
"Coimbatore, Tamil Nadu",3,,,,"11.093573,76.942427",5900000,2950
"Coimbatore, Tamil Nadu",3,2200,,,"11.08614915,76.99782425",9800000,4261
"Coimbatore, Tamil Nadu",3,,,4,"10.992592,76.936891",7000000,5747
"Coimbatore, Tamil Nadu",2,960,,,"11.093573,76.942427",4320000,
"Coimbatore, Tamil Nadu",3,1200,,4,"11.0603779,76.9360411",9000000,6000
"Coimbatore, Tamil Nadu",3,,,2,"11.0302321,77.0389148",7000000,5833
"Coimbatore, Tamil Nadu",2,,,,"10.582081,76.934158",5400000,4362
"Coimbatore, Tamil Nadu",2,900,,4,,6500000,5417
"Coimbatore, Tamil Nadu",2,675,,,"11.0000143,76.8705389",2210000,2947
"Coimbatore, Tamil Nadu",2,,,5,"11.1142589,76.9852228",8000000,7339
"Coimbatore, Tamil Nadu",3,2300,,2,"10.96724,77.027778",4700000,2043
"Coimbatore, Tamil Nadu",3,,,4,"11.0302321,77.0389148",15000000,8839
"Coimbatore, Tamil Nadu",3,1450,,2,"11.1142589,76.9852228",12000000,5714
"Coimbatore, Tamil Nadu",2,,,,"11.0195456,77.0276375",4050000,4500
"Coimbatore, Tamil Nadu",3,,,,"10.9942446,77.0040861",7230000,2951
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",2210000,2947
"Coimbatore, Tamil Nadu",3,,,,"11.0168445,76.9558321",8860000,2953
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",3390000,2948
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",4430000,2953
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",3690000,2952
"Coimbatore, Tamil Nadu",3,,,,"11.0430994,76.929566",6740000,
"Coimbatore, Tamil Nadu",3,,,,"11.0430994,76.929566",7010000,4494
"Coimbatore, Tamil Nadu",3,,,5,"10.9435131,76.938379",4800000,3429
"Coimbatore, Tamil Nadu",2,,,,"11.0442011,76.9719972",3460000,2952
"Coimbatore, Tamil Nadu",3,,,,"11.0168445,76.9558321",7410000,2951
"Coimbatore, Tamil Nadu",2,,,,"11.0168445,76.9558321",4430000,2953
"Coimbatore, Tamil Nadu",3,,,,"10.9456805,76.9405398",10330000,2951
"Coimbatore, Tamil Nadu",2,,,,"10.9456805,76.9405398",2950000,
"Coimbatore, Tamil Nadu",3,,,,"11.0168445,76.9558321",6740000,
"Coimbatore, Tamil Nadu",3,,,,"11.164051,76.9484624",11690000,4496
"Coimbatore, Tamil Nadu",2,500,,,"11.164051,76.9484624",2660000,2956
"Coimbatore, Tamil Nadu",2,980,,,"10.9993758,77.0388156",2950000,2950
"Coimbatore, Tamil Nadu",2,700,,,"11.0195456,77.0276375",8940000,2950
"Coimbatore, Tamil Nadu",2,,,,"11.0097212,77.0139841",5510000,4498
"Coimbatore, Tamil Nadu",3,,,,"11.0097212,77.0139841",9720000,4494
"Coimbatore, Tamil Nadu",3,,,4,"11.00832,76.94901",8500000,6911
"Coimbatore, Tamil Nadu",2,,,3,"11.00832,76.94901",1650000,4365
"Coimbatore, Tamil Nadu",2,720,,4,"11.07267962,77.01854854",4500000,4787
"Coimbatore, Tamil Nadu",3,1614,,4,"11.024999,76.9038011",8100000,
"Coimbatore, Tamil Nadu",2,920,,,"10.9517439,77.1023858",4140000,
"Coimbatore, Tamil Nadu",3,,,,"10.9517439,77.1023858",5020000,2953
"Coimbatore, Tamil Nadu",3,,,,"10.9517439,77.1023858",5760000,2954
"Coimbatore, Tamil Nadu",3,,,,"10.9517439,77.1023858",5900000,2950
"Coimbatore, Tamil Nadu",2,,,,"10.9517439,77.1023858",4130000,2950
"Coimbatore, Tamil Nadu",2,1158,,4,"10.9935456,76.9320765",11000000,
"Coimbatore, Tamil Nadu",2,,,,"11.151193,76.9383985",10000000,7698
"Coimbatore, Tamil Nadu",3,,,,"11.0302321,77.0389148",19000000,13103
"Coimbatore, Tamil Nadu",3,1019,,,"11.0781549,76.8850673",18000000,7317
"Coimbatore, Tamil Nadu",3,1373,,4,"11.07818,77.038567",10000000,
"Coimbatore, Tamil Nadu",2,860,,3,"11.076845,76.932334",4000000,4348
"Coimbatore, Tamil Nadu",3,,,,"11.005286,76.9856",2130000,2958
"Coimbatore, Tamil Nadu",2,,,,"11.11594,77.06409",2360000,2950
