address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Chennai, Tamil Nadu",3,1450,,4,"12.892227,80.189139",11200000,6584
"Chennai, Tamil Nadu",2,1078,,2,"13.0402707650849,80.1723021460083",7200000,5634
"Chennai, Tamil Nadu",3,1100,,5,"12.892227,80.189139",7800000,6260
"Chennai, Tamil Nadu",2,722,,4,"12.918147,80.190008",6800000,7054
"Chennai, Tamil Nadu",3,1500,,2,"13.1377480720469,80.2478771800048",8900000,5933
"Chennai, Tamil Nadu",3,619,,3,"12.9880919168144,80.2025989057477",16230500,11519
"Chennai, Tamil Nadu",3,,,5,"13.0695394718333,80.1890313751214",15000000,8961
"Chennai, Tamil Nadu",3,1400,,4,"12.9528979523473,80.1976570133141",18000000,11407
"Chennai, Tamil Nadu",2,,,13,"12.918147,80.190008",5500000,9306
"Chennai, Tamil Nadu",2,600,,2,"13.062984,80.2313523",7000000,10463
"Chennai, Tamil Nadu",2,,,19,"12.8078981093305,80.2233711681942",5900000,6644
"Chennai, Tamil Nadu",2,477,,4,"13.1067644888464,80.0971337293527",3700000,5465
"Chennai, Tamil Nadu",2,,,2,"13.0237805925726,80.1994464239823",9000000,8411
"Chennai, Tamil Nadu",3,,,1,"12.9856697916776,80.2193528980813",105000000,87500
"Chennai, Tamil Nadu",3,1703,,5,"13.03658,80.26828",52500000,27588
"Chennai, Tamil Nadu",2,1124,,3,"13.0045194445098,80.2501167246385",11500000,8076
"Chennai, Tamil Nadu",2,700,,2,"12.8871856747255,80.1152699971883",4500000,5844
"Chennai, Tamil Nadu",2,1043,,,"13.1067644888464,80.0971337293527",15000000,12068
"Chennai, Tamil Nadu",2,750,,1,"12.9658547351345,80.2020908058975",6545000,7192
"Chennai, Tamil Nadu",3,1800,,,"13.0759972985602,80.1209988388509",15500000,7750
"Chennai, Tamil Nadu",2,825,,1,"12.8415741112588,80.0657885550007",3940000,
"Chennai, Tamil Nadu",3,,,3,"12.940413,80.238329",12600000,9000
"Chennai, Tamil Nadu",2,,,4,"13.1067644888464,80.0971337293527",4000000,4494
"Chennai, Tamil Nadu",2,680,,3,"13.0097845684662,80.1495233419671",3600000,4500
"Chennai, Tamil Nadu",2,593,,4,"13.0824676325256,80.1749589803406",8000000,8299
"Chennai, Tamil Nadu",2,873,,2,"12.9517190855995,80.1364565059175",5900000,5268
"Chennai, Tamil Nadu",2,792,,3,"13.1345357560673,80.1515360938891",3300000,
"Chennai, Tamil Nadu",2,950,,11,"12.78926647521,80.2216878562107",5800000,5467
"Chennai, Tamil Nadu",2,1350,,10,"13.0054766549295,80.2563891548673",17550000,13000
"Chennai, Tamil Nadu",2,,,2,"12.8311703,80.1413195",4000000,4706
"Chennai, Tamil Nadu",3,1172,,17,"13.0253,80.111669",12000000,8746
"Chennai, Tamil Nadu",3,1000,,4,"12.9776838517169,80.2220171051611",14000000,12069
"Chennai, Tamil Nadu",2,,,2,"13.1182296,80.2375836",6500000,6835
"Chennai, Tamil Nadu",3,1300,,4,"12.892227,80.189139",9500000,6738
"Chennai, Tamil Nadu",2,758,,2,"13.0525115452499,80.2057205242592",12500000,13048
"Chennai, Tamil Nadu",3,,,7,"13.0108155373844,80.1178187446154",12000000,8902
"Chennai, Tamil Nadu",3,,,14,"13.0985686,80.2335406",13000000,9701
"Chennai, Tamil Nadu",3,,,,"12.9508950152488,80.1971287362167",25000000,11905
"Chennai, Tamil Nadu",2,770,,2,"12.9118074708543,80.0691719377809",3600000,4105
"Chennai, Tamil Nadu",3,1203,,3,"12.9071054889417,80.0834097998215",9700000,4042
"Chennai, Tamil Nadu",3,1000,,18,"12.917083,80.2275263",16000000,10230
"Chennai, Tamil Nadu",3,2000,,,"13.1240998,80.213393",18000000,
"Chennai, Tamil Nadu",3,,,5,"13.0513764464055,80.2679262588479",39820000,22000
"Chennai, Tamil Nadu",2,830,,2,"12.9396712877523,80.1122693253692",4900000,4970
"Chennai, Tamil Nadu",3,1100,,2,"13.0483665738604,80.2191808210949",10000000,8696
"Chennai, Tamil Nadu",3,880,,4,"12.9244421852677,80.1564946022346",7000000,7322
"Chennai, Tamil Nadu",3,2600,,18,"12.7866952040869,80.2500614662529",32500000,8784
"Chennai, Tamil Nadu",3,1890,,,"12.8643120425638,80.1460469493872",12000000,68966
"Chennai, Tamil Nadu",2,,,2,"12.9204632720855,80.1271003876472",4500000,5313
"Chennai, Tamil Nadu",3,1400,,6,"13.1182296,80.2375836",13000000,8667
"Chennai, Tamil Nadu",2,453,,3,"13.1185145712651,80.186277516593",6200000,6776
"Chennai, Tamil Nadu",3,952,,3,"13.0525561812285,80.2409244958933",18460000,14200
"Chennai, Tamil Nadu",2,468,,2,"13.081149,80.184013",8500000,9081
"Chennai, Tamil Nadu",3,1250,,4,"12.7297220332773,80.1980741778528",6000000,4110
"Chennai, Tamil Nadu",3,800,,2,"12.940413,80.238329",6800000,6239
"Chennai, Tamil Nadu",3,1800,,9,"13.0054766549295,80.2563891548673",39000000,19697
