address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Kolkata, West Bengal",3,1020,,4,"22.61421009,88.43357866",5200000,3875
"Kolkata, West Bengal",3,1164,,11,"22.6322091416971,88.4501774973632",10000000,6873
"Kolkata, West Bengal",2,1008,,3,"22.461197,88.3193521",4400000,3492
"Kolkata, West Bengal",3,807,,3,"22.462561,88.390719",4000000,3810
"Kolkata, West Bengal",3,,,4,"22.5109605,88.330497",12000000,7407
"Kolkata, West Bengal",3,900,,11,"22.5752621406664,88.2053157024334",4900000,4463
"Kolkata, West Bengal",3,1284,,6,"22.4989321,88.314684",10000000,5110
"Kolkata, West Bengal",3,,,46,"22.518036,88.4001305",30000000,17647
"Kolkata, West Bengal",3,1455,,4,"22.493345,88.4114215",6500000,4467
"Kolkata, West Bengal",2,550,,4,"22.6690556,88.429313",3000000,3571
"Kolkata, West Bengal",2,750,,3,"22.496012309580735,88.38446598296628",3500000,4667
"Kolkata, West Bengal",3,1000,,3,"22.5063635781747,88.393621804345",5500000,5000
"Kolkata, West Bengal",3,1000,,6,"22.6209607729154,88.4287069515799",7000000,5691
"Kolkata, West Bengal",3,1504,,21,"22.53857773,88.38972446",31000000,13753
"Kolkata, West Bengal",2,,,5,"22.6512723237129,88.3391244607567",2400000,3000
"Kolkata, West Bengal",3,792,,14,"22.452025,88.3011729",7500000,5531
"Kolkata, West Bengal",2,,,4,"22.5913323,88.4821379",5700000,7197
"Kolkata, West Bengal",2,500,,3,"22.4739768,88.3678436",3000000,5000
"Kolkata, West Bengal",2,,,4,"22.8025659536311,88.3704685032186",3150000,3680
"Kolkata, West Bengal",2,500,,16,"22.493345,88.4114215",6350000,9650
"Kolkata, West Bengal",2,600,,4,"22.50474,88.318992",3500000,5000
"Kolkata, West Bengal",3,1232,,4,"22.5109605,88.330497",8400000,5793
"Kolkata, West Bengal",3,1056,,6,"22.6322091416971,88.4501774973632",7500000,5682
"Kolkata, West Bengal",2,600,,3,"22.4708985,88.3634115",3200000,4000
"Kolkata, West Bengal",2,,,6,"22.6322091416971,88.4501774973632",4500000,5056
"Kolkata, West Bengal",2,724,,12,"22.5782811149978,88.4632851916895",7000000,7743
"Kolkata, West Bengal",3,963,,,"22.4664624,88.4252865",5200000,4594
"Kolkata, West Bengal",3,1150,,5,"22.59916602,88.40007166",7000000,5109
"Kolkata, West Bengal",3,,,5,"22.727158785608,88.3345100647492",3150000,2994
"Kolkata, West Bengal",2,580,,5,"22.6647439,88.388565",2580000,3225
"Kolkata, West Bengal",2,800,,5,"22.5359260317081,88.3408025011159",13500000,12118
"Kolkata, West Bengal",3,680,,14,"22.5913323,88.4821379",6000000,6593
"Kolkata, West Bengal",2,800,,5,"22.466238,88.38267",2250000,2812
"Kolkata, West Bengal",2,675,,3,"22.4806535452935,88.3497054094361",5000000,6667
"Kolkata, West Bengal",3,1150,,5,"22.500879,88.363566",11000000,8800
