id,posted_date,price,price_per_sq_ft,currency,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
67766223,2026-03-24T09:54:05.000Z,3500000,87500,₹,16,12850,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",40,,12800,
67766213,2026-03-24T09:53:55.000Z,4900000,3372,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",135,,12801,
55725999,2026-03-24T13:51:29.000Z,30000000,7143,₹,3200,,1,4,,,Kanpur,3,"Kanpur, Uttar Pradesh",4200,,12800,
67793745,2026-03-25T06:27:43.000Z,4510000,3434,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",122,,12801,
67793741,2026-03-25T06:27:40.000Z,2160000,3040,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",66,,12801,
80224259,2026-02-24T16:46:44.000Z,3700000,,₹,950,,2,2,North,3,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
67763225,2026-03-24T08:54:00.000Z,2730000,,₹,900,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
75977305,2026-01-18T22:30:26.000Z,4500000,5488,₹,800,,1,2,,5,Kanpur,2,"Kanpur, Uttar Pradesh",820,,12800,
55420927,2026-03-23T16:56:56.000Z,3000000,4444,₹,,,,1,,2,Kanpur,3,"Kanpur, Uttar Pradesh",75,,12803,
67763231,2026-03-24T08:54:08.000Z,15500000,9675,₹,178,12851,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",178,,12803,
82458879,2025-12-06T03:05:03.000Z,7000000,4118,₹,1500,,2,2,,5,Kanpur,3,"Kanpur, Uttar Pradesh",1700,,12800,
67758869,2026-03-24T07:35:25.000Z,3770000,3040,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",1240,,12800,
67758867,2026-03-24T07:35:22.000Z,4650000,7209,₹,645,,,3,,,Kanpur,2,"Kanpur, Uttar Pradesh",645,,12800,
67759067,2026-03-24T07:38:22.000Z,5150000,3433,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1500,,12800,
67758803,2026-03-24T07:34:38.000Z,3010000,3040,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",990,,12800,
67758799,2026-03-24T07:34:35.000Z,3000000,6000,₹,,12850,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",500,,12800,
67758795,2026-03-24T07:34:29.000Z,2500000,10000,₹,30,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",250,,12800,
81773111,2026-03-23T22:30:32.000Z,4800000,5053,₹,850,,3,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",950,,12800,
78169895,2026-03-21T16:41:23.000Z,6800000,4290,₹,1585,,4,3,,9,Kanpur,3,"Kanpur, Uttar Pradesh",1585,,12800,
81716339,2026-03-16T23:51:21.000Z,7200000,5143,₹,1300,,2,2,North,4,Kanpur,3,"Kanpur, Uttar Pradesh",1400,,12800,
72890593,2025-11-20T22:30:29.000Z,7000000,5185,₹,,,,2,North - East,8,Kanpur,3,"Kanpur, Uttar Pradesh",1350,,12800,
67803317,2026-03-25T09:26:04.000Z,5740000,5503,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1043,,12800,
56727947,2026-02-22T21:30:37.000Z,5500000,4365,₹,1200,,1,2,South,4,Kanpur,3,"Kanpur, Uttar Pradesh",1260,,12800,
83038631,2026-03-24T22:30:45.000Z,4200000,4000,₹,900,,1,2,East,4,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
42396417,2026-03-23T13:00:30.000Z,3650000,3476,₹,895,12850,1,2,East,2,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
75141431,2026-03-24T22:30:42.000Z,2800000,2692,₹,,,,2,,5,Kanpur,3,"Kanpur, Uttar Pradesh",1040,,12800,
75170559,2026-03-11T21:33:52.000Z,5600000,3111,₹,,,,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1800,,12800,
67772271,2026-03-24T12:04:02.000Z,2200000,4889,₹,,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",50,,12803,
67772279,2026-03-24T12:04:15.000Z,3040000,3040,₹,900,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1000,,12800,
77801499,2026-03-24T21:32:25.000Z,6500000,,₹,1000,,2,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
81556705,2026-03-24T09:06:24.000Z,7000000,5645,₹,,,,3,,11,Kanpur,2,"Kanpur, Uttar Pradesh",1240,,12800,
82331247,2026-03-06T23:33:35.000Z,5850000,4553,₹,1023,,2,2,North - East,4,Kanpur,3,"Kanpur, Uttar Pradesh",1285,,12800,
68043659,2026-03-19T15:03:08.000Z,1200000,1093,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",122,,12803,
68042045,2026-03-19T14:09:45.000Z,6900000,6616,₹,,,,2,,8,Kanpur,2,"Kanpur, Uttar Pradesh",1043,,12800,
68042545,2026-03-19T14:25:56.000Z,4800000,96000,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",50,,12800,
65741873,2026-01-28T22:30:32.000Z,4500000,4091,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",1100,,12800,
68042051,2026-03-19T14:10:02.000Z,8500000,5862,₹,,,,2,,6,Kanpur,3,"Kanpur, Uttar Pradesh",1450,,12800,
73486793,2026-03-19T22:30:40.000Z,5000000,617,₹,,,,2,,1,Kanpur,3,"Kanpur, Uttar Pradesh",900,,12803,
79651787,2026-01-23T21:30:39.000Z,3000000,3750,₹,,,,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",800,,12800,
81935851,2026-03-16T23:37:19.000Z,6500000,6500,₹,800,,1,2,East,4,Kanpur,3,"Kanpur, Uttar Pradesh",1000,,12800,
81339513,2026-01-28T21:33:17.000Z,8000000,7619,₹,950,,2,2,,7,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
83875015,2026-03-20T09:14:32.000Z,5500000,5000,₹,900,,1,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",1100,,12800,
81921241,2026-03-17T21:32:48.000Z,7900000,6077,₹,1000,,1,3,North - East,4,Kanpur,3,"Kanpur, Uttar Pradesh",1300,,12800,
80526029,2026-01-25T22:30:28.000Z,20000000,12387,₹,,,,2,,1,Kanpur,3,"Kanpur, Uttar Pradesh",150,,12801,
76846387,2026-03-23T21:32:11.000Z,5800000,4462,₹,1100,,1,2,,3,Kanpur,3,"Kanpur, Uttar Pradesh",1300,,12800,
81371313,2026-03-22T22:30:37.000Z,7500000,5828,₹,940,,3,2,,10,Kanpur,3,"Kanpur, Uttar Pradesh",1287,,12800,
78496897,2026-03-16T23:31:16.000Z,7000000,,₹,1100,,2,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
68021799,2026-03-19T06:52:15.000Z,9500000,7037,₹,,,,2,,3,Kanpur,3,"Kanpur, Uttar Pradesh",1350,,12800,
68023161,2026-03-19T07:12:18.000Z,7000000,3889,₹,,,,3,,3,Kanpur,3,"Kanpur, Uttar Pradesh",1800,,12800,
68022493,2026-03-19T07:01:26.000Z,13500000,7459,₹,,,,1,,9,Kanpur,3,"Kanpur, Uttar Pradesh",1810,,12800,
68022481,2026-03-19T07:01:19.000Z,9000000,6923,₹,,,,1,,8,Kanpur,3,"Kanpur, Uttar Pradesh",1300,,12800,
83674011,2026-03-06T19:40:12.000Z,5500000,,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",,,,
68016555,2026-03-19T05:46:43.000Z,6300000,5250,₹,,,,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1200,,12800,
68016553,2026-03-19T05:46:42.000Z,13500000,8438,₹,,12850,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1600,,12800,
68016573,2026-03-19T05:46:52.000Z,8250000,5500,₹,,,,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1500,,12800,
68015713,2026-03-19T05:37:40.000Z,2000000,666667,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",3,,12800,
83481703,2026-03-23T22:30:34.000Z,14000000,7778,₹,1600,,1,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1800,,12800,
68020069,2026-03-19T06:27:49.000Z,10000000,7812,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1280,,12800,
68020053,2026-03-19T06:27:36.000Z,3500000,3500,₹,,,,2,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1000,,12800,
68019655,2026-03-19T06:23:18.000Z,8200000,4280,₹,,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",178,,12801,
81874859,2025-12-09T22:30:37.000Z,3500000,3889,₹,1000,,1,1,North - West,4,Kanpur,2,"Kanpur, Uttar Pradesh",900,,12800,
75340363,2026-02-03T22:30:34.000Z,6000000,6667,₹,,,,2,,1,Kanpur,3,"Kanpur, Uttar Pradesh",900,,12800,
