id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
82940407,2026-03-16T23:31:33.000Z,25000000,10000,₹,"8.4877555,76.9616128",,,,2,5,West,,Trivandrum,5,"Trivandrum, Kerala",2500,,12800,
83261909,2026-03-17T14:25:22.000Z,6700000,5565,₹,"8.539630328715196,76.88585971543391",,,,2,2,East,17,Trivandrum,2,"Trivandrum, Kerala",1204,,12800,
82469489,2026-03-21T23:33:59.000Z,8900000,5921,₹,"8.5493225,76.938379",,,,2,3,South - East,14,Trivandrum,3,"Trivandrum, Kerala",1503,,12800,
83434923,2026-03-18T02:35:06.000Z,7000000,3182,₹,"8.59182429786514,76.8835347057013",,1800,,2,3,,,Trivandrum,3,"Trivandrum, Kerala",2200,,12800,
81274603,2026-03-20T18:49:38.000Z,12500000,4100,₹,"8.4264194,76.963886",,,,2,5,North - East,,Trivandrum,4,"Trivandrum, Kerala",3049,,12800,
82887577,2026-01-07T18:32:28.000Z,4700000,4947,₹,"8.5096484,76.9167689",,,,,1,,,Trivandrum,1,"Trivandrum, Kerala",950,,12800,
83243213,2026-03-25T23:52:59.000Z,375000,9,₹,"8.595671,77.053491",,,12800,,,East,,Trivandrum,,"Trivandrum, Kerala",,,,
81152319,2026-03-25T23:45:24.000Z,14000000,6401,₹,"8.534085,76.883342",,,,2,5,West,19,Trivandrum,4,"Trivandrum, Kerala",2187,,12800,
83915153,2026-03-23T16:29:20.000Z,9800000,12250,₹,"8.547645,76.913821",,,,1,1,,,Trivandrum,2,"Trivandrum, Kerala",800,,12800,
79236177,2026-03-15T23:37:19.000Z,18000000,6792,₹,"8.561559,76.9427006",,,12850,2,5,East,,Trivandrum,4,"Trivandrum, Kerala",2650,,12800,
83928463,2026-03-24T17:52:07.000Z,125000,8,₹,"8.5918519,76.9515628",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
74802749,2026-03-19T21:32:21.000Z,4500000,3600,₹,"8.5395587,76.9671865",,,,1,2,South - East,10,Trivandrum,2,"Trivandrum, Kerala",1250,,12800,
79211777,2026-01-24T03:42:30.000Z,600000,1,₹,"8.3867023,76.9721564",,,12800,,,East,,Trivandrum,,"Trivandrum, Kerala",,,,
81697967,2026-03-23T21:32:28.000Z,7980000,6504,₹,,,,,2,2,,14,Trivandrum,2,"Trivandrum, Kerala",1227,,12800,
67754607,2026-03-24T06:36:26.000Z,2775000,1723,₹,"8.4977403,76.9376474",,,12850,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754605,2026-03-24T06:36:25.000Z,4117000,4203,₹,"8.4977403,76.9376474",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",91,,12801,
67754601,2026-03-24T06:36:23.000Z,14800000,7115,₹,"8.4977403,76.9376474",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",2080,,12800,
67754599,2026-03-24T06:36:22.000Z,20000000,4591,₹,"8.492555,76.922576",,4,12800,,4,,,Trivandrum,4,"Trivandrum, Kerala",10,,12817,
67754597,2026-03-24T06:36:20.000Z,24500000,8030,₹,"8.492555,76.922576",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754595,2026-03-24T06:36:18.000Z,4800000,711,₹,"8.492555,76.922576",,200,12800,,1,,,Trivandrum,2,"Trivandrum, Kerala",750,,12803,
67754589,2026-03-24T06:36:13.000Z,9000000,1800,₹,"8.4880169,76.9318964",,,,,4,,,Trivandrum,5,"Trivandrum, Kerala",5000,,12800,
67754573,2026-03-24T06:36:03.000Z,6100000,4357,₹,"8.4648803,76.9903207",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",1400,,12800,
67754567,2026-03-24T06:35:58.000Z,14000000,8485,₹,"8.529714,76.9384144",,,12850,,4,,,Trivandrum,6,"Trivandrum, Kerala",1650,,12800,
67754587,2026-03-24T06:36:11.000Z,6500000,5909,₹,"8.4880169,76.9318964",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",1100,,12800,
67754585,2026-03-24T06:36:10.000Z,80000000,10000,₹,"8.4880169,76.9318964",,,,,7,,,Trivandrum,7,"Trivandrum, Kerala",8000,,12800,
67754583,2026-03-24T06:36:08.000Z,20500000,13667,₹,"8.4880169,76.9318964",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",1500,,12800,
67754579,2026-03-24T06:36:06.000Z,4400000,4632,₹,"8.4648803,76.9903207",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",950,,12800,
67754577,2026-03-24T06:36:05.000Z,4500000,2066,₹,"8.4648803,76.9903207",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754571,2026-03-24T06:36:01.000Z,10000000,1208,₹,"8.4648803,76.9903207",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754569,2026-03-24T06:35:59.000Z,4500000,,₹,"8.4648803,76.9903207",,900,,,2,,,Trivandrum,2,"Trivandrum, Kerala",,,,
67754565,2026-03-24T06:35:56.000Z,8000000,3674,₹,"8.529714,76.9384144",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754563,2026-03-24T06:35:54.000Z,25000000,8199,₹,"8.529714,76.9384144",,,12800,,5,,,Trivandrum,5,"Trivandrum, Kerala",7,,12817,
67754559,2026-03-24T06:35:53.000Z,25500000,8500,₹,"8.529714,76.9384144",,,12800,,3,,,Trivandrum,4,"Trivandrum, Kerala",3000,,12800,
67754557,2026-03-24T06:35:51.000Z,33500000,7692,₹,"8.4874949,76.948623",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754551,2026-03-24T06:35:47.000Z,15000000,7764,₹,"8.4874949,76.948623",,,,,4,,,Trivandrum,3,"Trivandrum, Kerala",1932,,12800,
67754547,2026-03-24T06:35:46.000Z,2500000,2632,₹,"8.4696835,76.9254134",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",950,,12800,
67754545,2026-03-24T06:35:44.000Z,17600000,1837,₹,"8.4696835,76.9254134",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754541,2026-03-24T06:35:43.000Z,6000000,8571,₹,"8.4696835,76.9254134",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",700,,12800,
67754539,2026-03-24T06:35:41.000Z,7500000,2460,₹,"8.4696835,76.9254134",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",7,,12817,
